把你的 300 張封面圖片放在這個 covers 資料夾裡
命名規則如下：

書號              檔名                   書名
------------------------------------------------------------
RED1            RED1.png           溜冰
RED2            RED2.png           坐過山車
RED3            RED3.png           玩滑板
RED4            RED4.png           收玩具
RED5            RED5.png           機器人幫我
RED6            RED6.png           玩什麼
RED7            RED7.png           救火
RED8            RED8.png           生日
RED9            RED9.png           當媽媽
RED10           RED10.png           誰在運動
RED11           RED11.png           今天
RED12           RED12.png           沖浪
RED13           RED13.png           停車
RED14           RED14.png           比賽
RED15           RED15.png           藏起來
RED16           RED16.png           怎麼了
RED17           RED17.png           行不行
RED18           RED18.png           去公園
RED19           RED19.png           小熊
RED20           RED20.png           牠是誰
RED21           RED21.png           吃草的動物
RED22           RED22.png           動物花紋
RED23           RED23.png           動物和泰山
RED24           RED24.png           動物拍照
RED25           RED25.png           爬樹的動物
RED26           RED26.png           魚和蝦
RED27           RED27.png           烏鴉
RED28           RED28.png           動物的叫聲
RED29           RED29.png           不一樣的動物
RED30           RED30.png           斑馬過河
RED31           RED31.png           動物在哪裏
RED32           RED32.png           動物變變變
RED33           RED33.png           動物的蛋
RED34           RED34.png           書
RED35           RED35.png           老師
RED36           RED36.png           筆盒
RED37           RED37.png           長方形
RED38           RED38.png           學校活動
RED39           RED39.png           學校
RED40           RED40.png           去學校
RED41           RED41.png           我你他
RED42           RED42.png           誰的錯
RED43           RED43.png           秘密 The secret
RED44           RED44.png           對不起
RED45           RED45.png           像什麼
RED46           RED46.png           一片沙漠
RED47           RED47.png           一半
RED48           RED48.png           上下
RED49           RED49.png           長短
RED50           RED50.png           厚薄
RED51           RED51.png           好大好大
RED52           RED52.png           我是老五
RED53           RED53.png           不大不小
RED54           RED54.png           一顆心
RED55           RED55.png           我在家嗎
RED56           RED56.png           姐姐和妹妹
RED57           RED57.png           小寶寶
RED58           RED58.png           家
RED59           RED59.png           媽媽
RED60           RED60.png           大家
RED61           RED61.png           弟弟
RED62           RED62.png           哪個好看
RED63           RED63.png           不癢了
RED64           RED64.png           臉
RED65           RED65.png           疤
RED66           RED66.png           翅膀
RED67           RED67.png           癢
RED68           RED68.png           蛋糕
RED69           RED69.png           吃東西
RED70           RED70.png           湯
RED71           RED71.png           魚
RED72           RED72.png           點心
RED73           RED73.png           想吃東西
RED74           RED74.png           蛋炒飯
RED75           RED75.png           雞蛋
RED76           RED76.png           水果
RED77           RED77.png           花 Flowers
RED78           RED78.png           櫻桃樹
RED79           RED79.png           風
RED80           RED80.png           樹
RED81           RED81.png           海邊
RED82           RED82.png           大浪
RED83           RED83.png           世界
RED84           RED84.png           開花了
RED85           RED85.png           幾隻腳
RED86           RED86.png           十五隻小鳥
RED87           RED87.png           好多錢
RED88           RED88.png           一星期
RED89           RED89.png           下雪
RED90           RED90.png           雲
RED91           RED91.png           閃電
RED92           RED92.png           雨天
RED93           RED93.png           什麼顏色
RED94           RED94.png           果汁的顏色
RED95           RED95.png           顏色豆
RED96           RED96.png           變顏色
RED97           RED97.png           鞋子
RED98           RED98.png           毛線
RED99           RED99.png           雨衣
RED100          RED100.png           衣服
YELLOW1         YELLOW1.png           忘了
YELLOW2         YELLOW2.png           我沒空
YELLOW3         YELLOW3.png           找什麼
YELLOW4         YELLOW4.png           生病
YELLOW5         YELLOW5.png           拉吊床
YELLOW6         YELLOW6.png           下不來
YELLOW7         YELLOW7.png           禮物在哪兒
YELLOW8         YELLOW8.png           夢到什麼
YELLOW9         YELLOW9.png           我們很無聊
YELLOW10        YELLOW10.png           做拼圖
YELLOW11        YELLOW11.png           我還是很愛你
YELLOW12        YELLOW12.png           照顧寵物
YELLOW13        YELLOW13.png           你想住在哪裏
YELLOW14        YELLOW14.png           動物的船沉了
YELLOW15        YELLOW15.png           不是真的動物
YELLOW16        YELLOW16.png           動物的朋友
YELLOW17        YELLOW17.png           狗兒
YELLOW18        YELLOW18.png           老鷹和兔子
YELLOW19        YELLOW19.png           好看的動物
YELLOW20        YELLOW20.png           會飛的動物
YELLOW21        YELLOW21.png           什麼動物最棒
YELLOW22        YELLOW22.png           說話的魚
YELLOW23        YELLOW23.png           動物的腳印
YELLOW24        YELLOW24.png           貓兒在哪裏
YELLOW25        YELLOW25.png           動物寶寶
YELLOW26        YELLOW26.png           魚鷹
YELLOW27        YELLOW27.png           小鴨
YELLOW28        YELLOW28.png           剪紙
YELLOW29        YELLOW29.png           比賽
YELLOW30        YELLOW30.png           橡皮
YELLOW31        YELLOW31.png           摺紙 Paper folding
YELLOW32        YELLOW32.png           少了什麼
YELLOW33        YELLOW33.png           剪剪貼貼
YELLOW34        YELLOW34.png           帶寶貝到學校
YELLOW35        YELLOW35.png           新書包
YELLOW36        YELLOW36.png           破了
YELLOW37        YELLOW37.png           不一樣
YELLOW38        YELLOW38.png           甜蜜蜜
YELLOW39        YELLOW39.png           還是好朋友
YELLOW40        YELLOW40.png           不見了
YELLOW41        YELLOW41.png           一堆什麼
YELLOW42        YELLOW42.png           撞到了
YELLOW43        YELLOW43.png           知道和不知道
YELLOW44        YELLOW44.png           真假恐龍
YELLOW45        YELLOW45.png           我是美美
YELLOW46        YELLOW46.png           不是雙胞胎
YELLOW47        YELLOW47.png           老大老二
YELLOW48        YELLOW48.png           抱妹妹
YELLOW49        YELLOW49.png           我也很好
YELLOW50        YELLOW50.png           全家人
YELLOW51        YELLOW51.png           我的家
YELLOW52        YELLOW52.png           騎在我身上
YELLOW53        YELLOW53.png           畫龍
YELLOW54        YELLOW54.png           用耳朵聽
YELLOW55        YELLOW55.png           畫小鳥
YELLOW56        YELLOW56.png           動物們吃東西
YELLOW57        YELLOW57.png           小鱷魚吃東西
YELLOW58        YELLOW58.png           做餅乾
YELLOW59        YELLOW59.png           甜餅乾
YELLOW60        YELLOW60.png           新鮮的水果
YELLOW61        YELLOW61.png           剩下的食物
YELLOW62        YELLOW62.png           蔥油餅
YELLOW63        YELLOW63.png           大水
YELLOW64        YELLOW64.png           沒有下雨
YELLOW65        YELLOW65.png           堅果
YELLOW66        YELLOW66.png           寶石
YELLOW67        YELLOW67.png           鳥蛋
YELLOW68        YELLOW68.png           植物
YELLOW69        YELLOW69.png           星球
YELLOW70        YELLOW70.png           彩虹
YELLOW71        YELLOW71.png           數數看
YELLOW72        YELLOW72.png           二四六八十
YELLOW73        YELLOW73.png           多少
YELLOW74        YELLOW74.png           第一第二第三
YELLOW75        YELLOW75.png           第四
YELLOW76        YELLOW76.png           一二三四五六七
YELLOW77        YELLOW77.png           四季
YELLOW78        YELLOW78.png           天氣
YELLOW79        YELLOW79.png           冬天和春天
YELLOW80        YELLOW80.png           颱風
YELLOW81        YELLOW81.png           晴天
YELLOW82        YELLOW82.png           很酷的顏色
YELLOW83        YELLOW83.png           彩虹衣
YELLOW84        YELLOW84.png           顏色變了
YELLOW85        YELLOW85.png           彩虹糖果屋
YELLOW86        YELLOW86.png           拐杖和帽子
YELLOW87        YELLOW87.png           女孩子的衣物
YELLOW88        YELLOW88.png           一層一層衣服
YELLOW89        YELLOW89.png           姐姐穿衣服
YELLOW90        YELLOW90.png           害怕
YELLOW91        YELLOW91.png           笑臉
YELLOW92        YELLOW92.png           節日
YELLOW93        YELLOW93.png           節日 (2)
YELLOW94        YELLOW94.png           醫生
YELLOW95        YELLOW95.png           醫院
YELLOW96        YELLOW96.png           是學生
YELLOW97        YELLOW97.png           長大要做什麼
YELLOW98        YELLOW98.png           坐直升機
YELLOW99        YELLOW99.png           不同的車
YELLOW100       YELLOW100.png           坐什麼車快
GREEN1          GREEN1.png           說秘密
GREEN2          GREEN2.png           上學
GREEN3          GREEN3.png           數一數
GREEN4          GREEN4.png           誰是書蟲
GREEN5          GREEN5.png           做我喜歡的事
GREEN6          GREEN6.png           捉迷藏
GREEN7          GREEN7.png           練習
GREEN8          GREEN8.png           玩接龍遊戲
GREEN9          GREEN9.png           找蛋遊戲
GREEN10         GREEN10.png           學游泳
GREEN11         GREEN11.png           躲貓貓
GREEN12         GREEN12.png           燙鞦韆
GREEN13         GREEN13.png           怕鬼
